"","N_USUARIS","Any","Núm. Expedient","Municipi","Estat","Tipus","HORES_SERVEI_SAD","PREU_SERVEI_SAD","IMPORT_SERVEI_SAD","IMPORT_SERVEI_SAD_IVA","HORES_SERVEI_SAD_NO","PREU_SERVEI_SAD_NO","IMPORT_SERVEI_SAD_NO","IMPORT_SERVEI_SAD_NO_IVA","Data de naixement","Sexe","Any de naixement","EDAT","TIPUS_SERVEI_SAD","Codi","PREU_SERVEI_SAD_HORA","PREU_SERVEI_SAD_HORA_NO","SAD_Dona","SAD_Home","USUARIS SAD De 31 a 50","USUARIS SAD De 51 a 70","USUARIS SAD De 71 a 100","USUARIS SAD De 0 a 30","NA","N_Municipis_Any","N_USUARIS_ANY","USUARIS_Muni","Homes","Dones","De 0 a 30","De 31 a 50","De 51 a 70","De 71 a 100","Total_POB_MUNI","Perc_SAD_POB_MUNI","Perc_SAD_Dones_Muni","Perc_SAD_Homes_Muni","Perc_SAD_USUARIS_0_a_30_A","Perc_SAD_USUARIS_31_a_50_A","Perc_SAD_USUARIS_51_a_70_A","Perc_SAD_USUARIS_71_a_100_A","Perc_Pob","Esperança_vida_H_I_D_BCN_PROV","Esperança_vida_H_BCN_PROV","Esperança_vida_D_BCN_PROV","VS_65_Homes_CAT","VS_65_Dones_CAT","Total_VS_65_HD_CAT","VS_AN_Homes_CAT","VS_AN_Dones_CAT","Total_VS_AN_HD_CAT","Total places Residències","Places Centres de dia","MEAN_VALORACIO_SIT_ECO_CAT","MEAN_VALORACIO_SIT_POL_CAT","MEAN_INTERES_POL","MEAN_STF_DEM","MEAN_CONFI_POL","MEAN_IDEOLOGIA","MEAN_SENT_PERT","VO PIB milions d'euros","VO PIB  per habitant. Milers d'euros","VO PIB  per habitant. Índex Catalunya = 100","Perc_VO_PIB_ME","VO_PIB_Dico","PERC_VO_PIB_ME_CUTTED","RFDB milers d'euros","RFDB per habitant. Milers d'euros","RFDB per habitant. Índex Catalunya = 100","Perc_VO_RFD_me","VO_RFD_Dico","Perc_VO_RFD_me_CUTTED","Altitud (m)","Superficie (km2)","Perc_pob","Densit_pob","Perc_Densit_pob","Nombre de pensions","Nombre de pensionistes","Pensions per pensionista","Perc_N_Pens","Perc_Pens_Pob","IBI_Rebuts","IBI_Base imposable (milers d'euros)","IBI_Quota íntegra (euros)","IBI_Base imposable/ Rebut (euros)","IBI_Quota íntegra/ Rebut (euros)","Perc_VO_IBI_me","VO_IBI_Dico","PERC_VO_IBI_me_CUTTED","IRPF_Base imposable general per declarant (EUROS)","IRPF_Quota resultant de l'autoliquidació per declarant (EUROS)","Perc_VO_IRPF_e","VO_IRPF_Dico","PERC_VO_IRPF_e_CUTTED","Índex de Gini (CAT)","Índex de ràtio S80/S20 (CAT)","Taxa de risc de pobresa o exclusió social (taxa AROPE)","Població en risc de pobresa (després de transferències socials)","Població que viu en llars amb intensitat de treball molt baixa (1)","Població amb privació material severa","PIB (CAT)","Producció de béns públics de caràcter social","Soport financer als ens locals","Deute públic","Pressupots Consell Comarcal Vallès Oriental (milions €)","Perc_Homes_CAT_Sota_Llindar_pobresa","Perc_Dones_CAT_Sota_Llindar_pobresa","Perc_Total_Pob_CAT_Sota_Llindar_pobresa","Anys_Dependencia","Anys_Dependencia_Cutted","ABS_DSP_2017"
"139",51,2012,"13/001/2012","Les Franqueses del Vallès","Actiu","Social",60,124.24,931.8,0,0,0,0,0,1971-12-31,"Dona",1971,41,"Cura de la persona i de la llar","080863",15.53,NA,10,0,1,3,6,0,NA,14,189,10,9773,9250,7203,6990,3379,1451,19023,0.0525679440677075,0.108108108108108,0,0,0.0143061516452074,0.0887836638058597,0.413507925568573,21.1769027819524,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,570.9,30.1,111.8,5.89072898932054,"PIB VO ME Per sobre la mitjana","Alt",283564,150,944,4.4620922631093,"RFD VO me Per sobre la mitjana","Alta",181,29.14,4.61865672185358,652.814001372684,1.90883853934493,"2827",2514,"1.12",3.71558209308169,0.0980722215698811,13802,512522,4448179,37133.9,322.3,2.62336745253751,"IBI VO me Per sobre la mitjana","Mig-Alt",19375,4266,1.69895856150063,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"140",52,2012,"13/002/2011","Les Franqueses del Vallès","Actiu","Social",240,186.12,3722.28,0,0,0,0,0,1933-09-29,"Dona",1933,79,"Cura de la persona i de la llar","080863",15.5095,NA,10,0,1,3,6,0,NA,14,189,10,9773,9250,7203,6990,3379,1451,19023,0.0525679440677075,0.108108108108108,0,0,0.0143061516452074,0.0887836638058597,0.413507925568573,21.1769027819524,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,570.9,30.1,111.8,5.89072898932054,"PIB VO ME Per sobre la mitjana","Alt",283564,150,944,4.4620922631093,"RFD VO me Per sobre la mitjana","Alta",181,29.14,4.61865672185358,652.814001372684,1.90883853934493,"2827",2514,"1.12",3.71558209308169,0.0980722215698811,13802,512522,4448179,37133.9,322.3,2.62336745253751,"IBI VO me Per sobre la mitjana","Mig-Alt",19375,4266,1.69895856150063,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"141",54,2012,"13/004/2011","Les Franqueses del Vallès","Actiu","Social",147,186.12,2280.03,0,0,0,0,0,1930-03-30,"Dona",1930,82,"Cura de la persona i de la llar","080863",15.5104081632653,NA,10,0,1,3,6,0,NA,14,189,10,9773,9250,7203,6990,3379,1451,19023,0.0525679440677075,0.108108108108108,0,0,0.0143061516452074,0.0887836638058597,0.413507925568573,21.1769027819524,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,570.9,30.1,111.8,5.89072898932054,"PIB VO ME Per sobre la mitjana","Alt",283564,150,944,4.4620922631093,"RFD VO me Per sobre la mitjana","Alta",181,29.14,4.61865672185358,652.814001372684,1.90883853934493,"2827",2514,"1.12",3.71558209308169,0.0980722215698811,13802,512522,4448179,37133.9,322.3,2.62336745253751,"IBI VO me Per sobre la mitjana","Mig-Alt",19375,4266,1.69895856150063,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"142",56,2012,"13/005/2012","Les Franqueses del Vallès","Baixa definitiva","Social",4,31.06,62.12,0,0,0,0,0,1945-01-23,"Dona",1945,67,"Cura de la persona i de la llar","080863",15.53,NA,10,0,1,3,6,0,NA,14,189,10,9773,9250,7203,6990,3379,1451,19023,0.0525679440677075,0.108108108108108,0,0,0.0143061516452074,0.0887836638058597,0.413507925568573,21.1769027819524,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,570.9,30.1,111.8,5.89072898932054,"PIB VO ME Per sobre la mitjana","Alt",283564,150,944,4.4620922631093,"RFD VO me Per sobre la mitjana","Alta",181,29.14,4.61865672185358,652.814001372684,1.90883853934493,"2827",2514,"1.12",3.71558209308169,0.0980722215698811,13802,512522,4448179,37133.9,322.3,2.62336745253751,"IBI VO me Per sobre la mitjana","Mig-Alt",19375,4266,1.69895856150063,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"143",60,2012,"13/007/2012","Les Franqueses del Vallès","Actiu","Social",14,31.06,217.42,0,0,0,0,0,1928-04-18,"Dona",1928,84,"Cura de la persona i de la llar","080863",15.53,NA,10,0,1,3,6,0,NA,14,189,10,9773,9250,7203,6990,3379,1451,19023,0.0525679440677075,0.108108108108108,0,0,0.0143061516452074,0.0887836638058597,0.413507925568573,21.1769027819524,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,570.9,30.1,111.8,5.89072898932054,"PIB VO ME Per sobre la mitjana","Alt",283564,150,944,4.4620922631093,"RFD VO me Per sobre la mitjana","Alta",181,29.14,4.61865672185358,652.814001372684,1.90883853934493,"2827",2514,"1.12",3.71558209308169,0.0980722215698811,13802,512522,4448179,37133.9,322.3,2.62336745253751,"IBI VO me Per sobre la mitjana","Mig-Alt",19375,4266,1.69895856150063,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"144",61,2012,"13/008/2012","Les Franqueses del Vallès","Actiu","Social",43,31.06,667.79,0,0,0,0,0,1930-10-09,"Dona",1930,82,"Cura de la persona i de la llar","080863",15.53,NA,10,0,1,3,6,0,NA,14,189,10,9773,9250,7203,6990,3379,1451,19023,0.0525679440677075,0.108108108108108,0,0,0.0143061516452074,0.0887836638058597,0.413507925568573,21.1769027819524,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,570.9,30.1,111.8,5.89072898932054,"PIB VO ME Per sobre la mitjana","Alt",283564,150,944,4.4620922631093,"RFD VO me Per sobre la mitjana","Alta",181,29.14,4.61865672185358,652.814001372684,1.90883853934493,"2827",2514,"1.12",3.71558209308169,0.0980722215698811,13802,512522,4448179,37133.9,322.3,2.62336745253751,"IBI VO me Per sobre la mitjana","Mig-Alt",19375,4266,1.69895856150063,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"145",64,2012,"13/012/2011","Les Franqueses del Vallès","Actiu","Social",198,186.12,3070.86,0,0,0,0,0,1956-04-16,"Dona",1956,56,"Cura de la persona i de la llar","080863",15.5093939393939,NA,10,0,1,3,6,0,NA,14,189,10,9773,9250,7203,6990,3379,1451,19023,0.0525679440677075,0.108108108108108,0,0,0.0143061516452074,0.0887836638058597,0.413507925568573,21.1769027819524,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,570.9,30.1,111.8,5.89072898932054,"PIB VO ME Per sobre la mitjana","Alt",283564,150,944,4.4620922631093,"RFD VO me Per sobre la mitjana","Alta",181,29.14,4.61865672185358,652.814001372684,1.90883853934493,"2827",2514,"1.12",3.71558209308169,0.0980722215698811,13802,512522,4448179,37133.9,322.3,2.62336745253751,"IBI VO me Per sobre la mitjana","Mig-Alt",19375,4266,1.69895856150063,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"146",66,2012,"13/013/2011","Les Franqueses del Vallès","Actiu","Social",71,61.88,1097.59,0,0,0,0,0,1934-08-13,"Dona",1934,78,"Cura de la persona i de la llar","080863",15.459014084507,NA,10,0,1,3,6,0,NA,14,189,10,9773,9250,7203,6990,3379,1451,19023,0.0525679440677075,0.108108108108108,0,0,0.0143061516452074,0.0887836638058597,0.413507925568573,21.1769027819524,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,570.9,30.1,111.8,5.89072898932054,"PIB VO ME Per sobre la mitjana","Alt",283564,150,944,4.4620922631093,"RFD VO me Per sobre la mitjana","Alta",181,29.14,4.61865672185358,652.814001372684,1.90883853934493,"2827",2514,"1.12",3.71558209308169,0.0980722215698811,13802,512522,4448179,37133.9,322.3,2.62336745253751,"IBI VO me Per sobre la mitjana","Mig-Alt",19375,4266,1.69895856150063,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"147",69,2012,"13/016/2011","Les Franqueses del Vallès","Actiu","Social",241,186.12,3737.93,0,0,0,0,0,1944-11-05,"Dona",1944,68,"Cura de la persona i de la llar","080863",15.5100829875519,NA,10,0,1,3,6,0,NA,14,189,10,9773,9250,7203,6990,3379,1451,19023,0.0525679440677075,0.108108108108108,0,0,0.0143061516452074,0.0887836638058597,0.413507925568573,21.1769027819524,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,570.9,30.1,111.8,5.89072898932054,"PIB VO ME Per sobre la mitjana","Alt",283564,150,944,4.4620922631093,"RFD VO me Per sobre la mitjana","Alta",181,29.14,4.61865672185358,652.814001372684,1.90883853934493,"2827",2514,"1.12",3.71558209308169,0.0980722215698811,13802,512522,4448179,37133.9,322.3,2.62336745253751,"IBI VO me Per sobre la mitjana","Mig-Alt",19375,4266,1.69895856150063,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"148",71,2012,"14/002/2012","La Garriga","Baixa definitiva","Social",16,46.59,248.48,0,0,0,0,0,1984-06-30,"Dona",1984,28,"Cura de la persona i de la llar","080885",15.53,NA,42,11,0,4,48,1,NA,14,189,53,7482,7990,5391,5310,3207,1564,15472,0.342554291623578,0.525657071339174,0.147019513499064,0.0185494342422556,0,0.124727159338946,3.0690537084399,17.2238364002716,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,327.3,21.2,78.6,3.3771861940876,"PIB VO ME Per sota la mitjana","Mig",256682,166,1049,4.03908382685891,"RFD VO me Per sobre la mitjana","Alta",252,18.8,3.75649775537605,822.978723404255,2.40640289729035,"2757",2422,"1.14",3.57961011513279,0.0944832619897582,11190,924947,5176067,82658.4,462.6,4.73438380229964,"IBI VO me Per sobre la mitjana","Alt",23229,5924,2.35926641311058,"IRPF VO me Per sobre la mitjana","Alt",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"149",73,2012,"18/001/2011","La Llagosta","Actiu","Social",37,30.82,570.17,0,0,0,0,0,1927-10-12,"Dona",1927,85,"Cura de la persona i de la llar","081056",15.41,NA,26,6,1,0,31,0,NA,14,189,32,6765,6847,4679,4603,2982,1348,13612,0.23508668821628,0.379728348181685,0.0886917960088692,0,0.0217249619813165,0,2.29970326409496,15.1532355920694,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,235.6,17.5,65,2.43099623381314,"PIB VO ME Per sota la mitjana","Baix-Mig",195967,145,919,3.08368775487981,"RFD VO me Per sobre la mitjana","Mig-Alta",45,3.03,3.3049022392825,4492.40924092409,13.1358761845699,"2784",2561,"1.09",3.78504603833819,0.0999057117901613,8592,220232,2422549,25632.2,282,1.12726763106216,"IBI VO me Per sota la mitjana","Baix-Mig",17121,3335,1.32818256038551,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"150",74,2012,"18/002/2012","La Llagosta","Actiu","Social",139,170.71,2158.07,0,0,0,0,0,1969-08-08,"Dona",1969,43,"Cura de la persona i de la llar","081056",15.5256834532374,NA,26,6,1,0,31,0,NA,14,189,32,6765,6847,4679,4603,2982,1348,13612,0.23508668821628,0.379728348181685,0.0886917960088692,0,0.0217249619813165,0,2.29970326409496,15.1532355920694,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,235.6,17.5,65,2.43099623381314,"PIB VO ME Per sota la mitjana","Baix-Mig",195967,145,919,3.08368775487981,"RFD VO me Per sobre la mitjana","Mig-Alta",45,3.03,3.3049022392825,4492.40924092409,13.1358761845699,"2784",2561,"1.09",3.78504603833819,0.0999057117901613,8592,220232,2422549,25632.2,282,1.12726763106216,"IBI VO me Per sota la mitjana","Baix-Mig",17121,3335,1.32818256038551,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"151",77,2012,"18/003/2011","La Llagosta","Actiu","Social",69,92.94,1068.33,0,0,0,0,0,1931-08-10,"Dona",1931,81,"Cura de la persona i de la llar","081056",15.4830434782609,NA,26,6,1,0,31,0,NA,14,189,32,6765,6847,4679,4603,2982,1348,13612,0.23508668821628,0.379728348181685,0.0886917960088692,0,0.0217249619813165,0,2.29970326409496,15.1532355920694,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,235.6,17.5,65,2.43099623381314,"PIB VO ME Per sota la mitjana","Baix-Mig",195967,145,919,3.08368775487981,"RFD VO me Per sobre la mitjana","Mig-Alta",45,3.03,3.3049022392825,4492.40924092409,13.1358761845699,"2784",2561,"1.09",3.78504603833819,0.0999057117901613,8592,220232,2422549,25632.2,282,1.12726763106216,"IBI VO me Per sota la mitjana","Baix-Mig",17121,3335,1.32818256038551,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"152",80,2012,"18/006/2011","La Llagosta","Actiu","Social",39,30.82,600.99,0,0,0,0,0,1929-09-20,"Dona",1929,83,"Cura de la persona i de la llar","081056",15.41,NA,26,6,1,0,31,0,NA,14,189,32,6765,6847,4679,4603,2982,1348,13612,0.23508668821628,0.379728348181685,0.0886917960088692,0,0.0217249619813165,0,2.29970326409496,15.1532355920694,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,235.6,17.5,65,2.43099623381314,"PIB VO ME Per sota la mitjana","Baix-Mig",195967,145,919,3.08368775487981,"RFD VO me Per sobre la mitjana","Mig-Alta",45,3.03,3.3049022392825,4492.40924092409,13.1358761845699,"2784",2561,"1.09",3.78504603833819,0.0999057117901613,8592,220232,2422549,25632.2,282,1.12726763106216,"IBI VO me Per sota la mitjana","Baix-Mig",17121,3335,1.32818256038551,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"153",82,2012,"18/009/2010","La Llagosta","Baixa definitiva","Social",50,30.82,770.5,0,0,0,0,0,1926-08-22,"Dona",1926,86,"Cura de la persona i de la llar","081056",15.41,NA,26,6,1,0,31,0,NA,14,189,32,6765,6847,4679,4603,2982,1348,13612,0.23508668821628,0.379728348181685,0.0886917960088692,0,0.0217249619813165,0,2.29970326409496,15.1532355920694,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,235.6,17.5,65,2.43099623381314,"PIB VO ME Per sota la mitjana","Baix-Mig",195967,145,919,3.08368775487981,"RFD VO me Per sobre la mitjana","Mig-Alta",45,3.03,3.3049022392825,4492.40924092409,13.1358761845699,"2784",2561,"1.09",3.78504603833819,0.0999057117901613,8592,220232,2422549,25632.2,282,1.12726763106216,"IBI VO me Per sota la mitjana","Baix-Mig",17121,3335,1.32818256038551,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"154",84,2012,"18/013/2010","La Llagosta","Actiu","Social",40,186.12,620.24,0,0,0,0,0,1938-04-10,"Dona",1938,74,"Cura de la persona i de la llar","081056",15.506,NA,26,6,1,0,31,0,NA,14,189,32,6765,6847,4679,4603,2982,1348,13612,0.23508668821628,0.379728348181685,0.0886917960088692,0,0.0217249619813165,0,2.29970326409496,15.1532355920694,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,235.6,17.5,65,2.43099623381314,"PIB VO ME Per sota la mitjana","Baix-Mig",195967,145,919,3.08368775487981,"RFD VO me Per sobre la mitjana","Mig-Alta",45,3.03,3.3049022392825,4492.40924092409,13.1358761845699,"2784",2561,"1.09",3.78504603833819,0.0999057117901613,8592,220232,2422549,25632.2,282,1.12726763106216,"IBI VO me Per sota la mitjana","Baix-Mig",17121,3335,1.32818256038551,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"155",85,2012,"18/017/2010","La Llagosta","Actiu","Social",118,155.06,1829.78,0,0,0,0,0,1936-08-12,"Dona",1936,76,"Cura de la persona i de la llar","081056",15.5066101694915,NA,26,6,1,0,31,0,NA,14,189,32,6765,6847,4679,4603,2982,1348,13612,0.23508668821628,0.379728348181685,0.0886917960088692,0,0.0217249619813165,0,2.29970326409496,15.1532355920694,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,235.6,17.5,65,2.43099623381314,"PIB VO ME Per sota la mitjana","Baix-Mig",195967,145,919,3.08368775487981,"RFD VO me Per sobre la mitjana","Mig-Alta",45,3.03,3.3049022392825,4492.40924092409,13.1358761845699,"2784",2561,"1.09",3.78504603833819,0.0999057117901613,8592,220232,2422549,25632.2,282,1.12726763106216,"IBI VO me Per sota la mitjana","Baix-Mig",17121,3335,1.32818256038551,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"156",86,2012,"18/023/2010","La Llagosta","Actiu","Social",102,186.12,1582.14,0,0,0,0,0,1937-08-17,"Dona",1937,75,"Cura de la persona i de la llar","081056",15.5111764705882,NA,26,6,1,0,31,0,NA,14,189,32,6765,6847,4679,4603,2982,1348,13612,0.23508668821628,0.379728348181685,0.0886917960088692,0,0.0217249619813165,0,2.29970326409496,15.1532355920694,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,235.6,17.5,65,2.43099623381314,"PIB VO ME Per sota la mitjana","Baix-Mig",195967,145,919,3.08368775487981,"RFD VO me Per sobre la mitjana","Mig-Alta",45,3.03,3.3049022392825,4492.40924092409,13.1358761845699,"2784",2561,"1.09",3.78504603833819,0.0999057117901613,8592,220232,2422549,25632.2,282,1.12726763106216,"IBI VO me Per sota la mitjana","Baix-Mig",17121,3335,1.32818256038551,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"157",87,2012,"18/025/2010","La Llagosta","Actiu","Social",149,186.12,2310.97,0,0,0,0,0,1924-07-10,"Dona",1924,88,"Cura de la persona i de la llar","081056",15.5098657718121,NA,26,6,1,0,31,0,NA,14,189,32,6765,6847,4679,4603,2982,1348,13612,0.23508668821628,0.379728348181685,0.0886917960088692,0,0.0217249619813165,0,2.29970326409496,15.1532355920694,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,235.6,17.5,65,2.43099623381314,"PIB VO ME Per sota la mitjana","Baix-Mig",195967,145,919,3.08368775487981,"RFD VO me Per sobre la mitjana","Mig-Alta",45,3.03,3.3049022392825,4492.40924092409,13.1358761845699,"2784",2561,"1.09",3.78504603833819,0.0999057117901613,8592,220232,2422549,25632.2,282,1.12726763106216,"IBI VO me Per sota la mitjana","Baix-Mig",17121,3335,1.32818256038551,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"158",92,2012,"18/032/2010","La Llagosta","Actiu","Social",13,15.41,200.33,0,0,0,0,0,1925-01-25,"Dona",1925,87,"Cura de la persona i de la llar","081056",15.41,NA,26,6,1,0,31,0,NA,14,189,32,6765,6847,4679,4603,2982,1348,13612,0.23508668821628,0.379728348181685,0.0886917960088692,0,0.0217249619813165,0,2.29970326409496,15.1532355920694,82.57,79.58,85.39,16.47,19.92,18.28,76.4,81.18,78.79,2803,857,4.13931888544892,3.39576883384933,2.33797729618163,3.02012383900929,4.80804953560371,4.50533195734434,8.44969040247678,235.6,17.5,65,2.43099623381314,"PIB VO ME Per sota la mitjana","Baix-Mig",195967,145,919,3.08368775487981,"RFD VO me Per sobre la mitjana","Mig-Alta",45,3.03,3.3049022392825,4492.40924092409,13.1358761845699,"2784",2561,"1.09",3.78504603833819,0.0999057117901613,8592,220232,2422549,25632.2,282,1.12726763106216,"IBI VO me Per sota la mitjana","Baix-Mig",17121,3335,1.32818256038551,"IRPF VO me Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,201768,15098.59,2897.69,3674.43,15.19,19,22,20.5,3.77999999999999,"Anys.Dep: Per sobre la mitjana","Abans 2017"
